ave_functions_utilised_from_dlls_imported,bogus_functions,num_blacklisted_functions,num_whitelisted_functions,persistent_reg_key,num_native_functions,label
1.11531190926276,37.0,2.0,1.0,-1.0,0.0,1
24.5,0.0,1.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
19.75,4.0,1.0,0.0,0.0,0.0,1
7.222222222222222,3.0,0.0,0.0,0.0,1.0,1
6.999999999999999,2.0,0.0,0.0,0.0,1.0,1
7.000000000000001,3.0,0.0,0.0,0.0,1.0,1
7.222222222222222,3.0,0.0,0.0,0.0,1.0,1
2.0,0.0,0.0,0.0,0.0,0.0,1
0.7986111111111112,1.0,1.0,0.0,0.0,0.0,1
3.555555555555556,0.0,1.0,0.0,0.0,0.0,1
1.6326530612244898,3.0,3.0,0.0,0.0,0.0,1
1.6326530612244898,3.0,3.0,0.0,0.0,0.0,1
1.6326530612244898,3.0,3.0,0.0,0.0,0.0,1
1.6326530612244898,3.0,3.0,0.0,0.0,0.0,1
1.859375,3.0,7.0,0.0,1.0,0.0,1
1.859375,3.0,7.0,0.0,1.0,0.0,1
0.1632653061224489,0.0,1.0,0.0,0.0,0.0,1
5.5200000000000005,0.0,1.0,0.0,0.0,0.0,1
3.76,20.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
1.0,1.0,0.0,0.0,0.0,0.0,1
3.2,3.0,2.0,1.0,0.0,0.0,1
2.59375,1.0,0.0,0.0,0.0,0.0,1
2.59375,1.0,0.0,0.0,0.0,0.0,1
9.0,0.0,0.0,0.0,0.0,0.0,1
9.0,0.0,0.0,0.0,0.0,0.0,1
9.0,0.0,0.0,0.0,0.0,0.0,1
23.0,0.0,1.0,0.0,0.0,0.0,1
0.2040816326530611,0.0,0.0,0.0,0.0,0.0,1
2.09375,4.0,7.0,0.0,0.0,0.0,1
2.9444444444444446,6.0,1.0,0.0,1.0,1.0,1
